# FPR	TPR
0.000000	0.000000
0.004070	0.014441
0.004114	0.014499
0.004143	0.014528
0.004186	0.014629
0.004201	0.014716
0.004273	0.014803
0.004273	0.014818
0.004418	0.015267
0.004418	0.015325
0.004447	0.015325
0.004548	0.015614
0.004621	0.015976
0.004693	0.015976
0.004765	0.016136
0.004765	0.016223
0.004765	0.016252
0.005185	0.017410
0.005185	0.017425
0.005214	0.017425
0.005229	0.017439
0.005229	0.017483
0.005243	0.017483
0.005243	0.017526
0.005258	0.017570
0.005258	0.017584
0.005301	0.017744
0.005316	0.017773
0.005316	0.017787
0.005316	0.017816
0.005388	0.018149
0.005417	0.018424
0.005446	0.018439
0.005446	0.018482
0.005446	0.018511
0.005461	0.018511
0.005475	0.018526
0.005591	0.018931
0.005591	0.018946
0.005591	0.018975
0.005620	0.019004
0.005634	0.019076
0.005678	0.019192
0.005692	0.019351
0.005692	0.019380
0.005721	0.019395
0.005736	0.019453
0.005736	0.019467
0.005736	0.019496
0.005736	0.019511
0.005750	0.019554
0.005750	0.019612
0.009038	0.031967
0.009053	0.031996
0.009053	0.032025
0.009053	0.032040
0.009053	0.032069
0.009053	0.032083
0.009053	0.032127
0.009053	0.032185
0.009053	0.032228
0.009111	0.032315
0.009111	0.032344
0.009125	0.032532
0.009169	0.032692
0.009169	0.032735
0.009256	0.033039
0.009256	0.033068
0.009285	0.033112
0.009285	0.033126
0.009589	0.033764
0.009603	0.033764
0.009632	0.033807
0.009661	0.033836
0.009661	0.033879
0.009661	0.033894
0.009850	0.034227
0.009922	0.034589
0.009922	0.034647
0.009922	0.034662
0.009922	0.034691
0.009980	0.034980
0.009980	0.035009
0.009994	0.035009
0.010023	0.035053
0.010023	0.035111
0.010023	0.035154
0.010038	0.035154
0.010516	0.036892
0.010516	0.036907
0.010530	0.036936
0.010530	0.036979
0.010530	0.037023
0.010603	0.037037
0.010603	0.037080
0.010603	0.037109
0.010617	0.037269
0.010617	0.037283
0.010617	0.037341
0.010632	0.037399
0.010632	0.037414
0.010646	0.037414
0.010748	0.037761
0.010863	0.038312
0.010863	0.038326
0.010892	0.038457
0.010892	0.038471
0.010907	0.038485
0.010907	0.038572
0.010921	0.038645
0.010936	0.038645
0.011066	0.039050
0.011066	0.039065
0.011081	0.039094
0.011197	0.039195
0.011197	0.039224
0.011197	0.039268
0.011283	0.039499
0.011298	0.039572
0.011298	0.039586
0.011327	0.039630
0.011370	0.039644
0.011370	0.039673
0.011385	0.039746
0.011399	0.039760
0.011414	0.039847
0.011414	0.039876
0.011414	0.039905
0.011414	0.039919
0.011428	0.039934
0.011443	0.040021
0.011486	0.040035
0.011486	0.040079
0.014151	0.050276
0.014151	0.050334
0.014151	0.050421
0.014151	0.050464
0.014151	0.050508
0.014151	0.050537
0.014151	0.050595
0.014151	0.050681
0.014151	0.050696
0.014195	0.050783
0.014195	0.050797
0.014224	0.050797
0.014224	0.050855
0.014238	0.050855
0.014253	0.051000
0.014311	0.051232
0.014412	0.051449
0.014412	0.051464
0.014412	0.051493
0.014412	0.051507
0.014441	0.051551
0.014441	0.051580
0.014629	0.052391
0.014629	0.052434
0.014658	0.052521
0.014687	0.052637
0.014702	0.052666
0.014731	0.052709
0.014832	0.053303
0.014934	0.053752
0.014934	0.053810
0.014934	0.053839
0.014948	0.053839
0.015020	0.054259
0.015049	0.054346
0.015064	0.054375
0.015093	0.054520
0.015093	0.054549
0.015107	0.054607
0.015107	0.054621
0.015107	0.054650
0.015136	0.054679
0.015136	0.054708
0.015643	0.056780
0.015672	0.056794
0.015672	0.056823
0.015672	0.056837
0.015687	0.056837
0.015716	0.056953
0.015716	0.057011
0.015716	0.057026
0.015759	0.057055
0.015759	0.057084
0.015759	0.057127
0.015759	0.057142
0.015788	0.057156
0.015788	0.057229
0.015788	0.057243
0.015817	0.057605
0.015817	0.057634
0.015832	0.057634
0.015832	0.057649
0.015832	0.057735
0.015832	0.057764
0.015832	0.057779
0.015832	0.057808
0.015832	0.057880
0.016034	0.058329
0.016208	0.058880
0.016237	0.058880
0.016237	0.058894
0.016252	0.058923
0.016252	0.058952
0.016266	0.059039
0.016266	0.059068
0.016295	0.059112
0.016353	0.059155
0.016353	0.059184
0.016368	0.059256
0.016368	0.059285
0.016527	0.059807
0.016527	0.059821
0.016541	0.059821
0.016541	0.059850
0.016541	0.059879
0.016556	0.059879
0.016556	0.059894
0.016556	0.059923
0.016599	0.060154
0.016599	0.060169
0.016614	0.060169
0.016628	0.060198
0.016628	0.060227
0.016657	0.060545
0.016672	0.060690
0.016672	0.060719
0.016686	0.060748
0.016701	0.060806
0.016715	0.060821
0.016730	0.060864
0.016730	0.060922
0.016744	0.060980
0.016744	0.060995
0.016744	0.061038
0.016802	0.061110
0.016802	0.061183
0.016817	0.061183
0.016817	0.061197
0.016831	0.061197
0.016831	0.061226
0.016831	0.061255
0.016831	0.061313
0.018917	0.069787
0.018946	0.069801
0.018946	0.069816
0.018960	0.069816
0.018960	0.069830
0.018975	0.069845
0.018975	0.069859
0.018989	0.069874
0.018989	0.069888
0.019018	0.069888
0.019033	0.069917
0.019062	0.070004
0.019076	0.070004
0.019076	0.070018
0.019076	0.070047
0.019091	0.070076
0.019091	0.070091
0.019120	0.070091
0.019134	0.070091
0.019134	0.070105
0.019134	0.070134
0.019149	0.070149
0.019149	0.070207
0.019163	0.070236
0.019178	0.070236
0.019178	0.070265
0.019192	0.070337
0.019192	0.070352
0.019192	0.070381
0.019192	0.070424
0.019250	0.070496
0.019308	0.070583
0.019322	0.070583
0.019322	0.070612
0.019337	0.070627
0.019337	0.070641
0.019366	0.070960
0.019366	0.070974
0.019409	0.071018
0.019409	0.071047
0.019409	0.071076
0.019583	0.071684
0.019583	0.071699
0.019641	0.071742
0.019641	0.071771
0.019670	0.071800
0.019670	0.071858
0.019670	0.071887
0.019699	0.071988
0.019713	0.071988
0.019873	0.072597
0.019945	0.073060
0.019960	0.073075
0.019960	0.073089
0.019974	0.073104
0.019974	0.073118
0.019989	0.073147
0.019989	0.073176
0.019989	0.073191
0.020018	0.073234
0.020032	0.073234
0.020047	0.073248
0.020148	0.073582
0.020163	0.073611
0.020163	0.073669
0.020163	0.073683
0.020220	0.073770
0.020235	0.073784
0.020235	0.073857
0.020249	0.073915
0.020264	0.073915
0.020264	0.073929
0.020293	0.073929
0.020293	0.073944
0.020684	0.076044
0.020684	0.076087
0.020698	0.076087
0.020698	0.076116
0.020698	0.076131
0.020713	0.076131
0.020713	0.076160
0.020713	0.076247
0.020713	0.076261
0.020713	0.076305
0.020727	0.076363
0.020742	0.076363
0.020742	0.076392
0.020742	0.076479
0.020756	0.076536
0.020785	0.076652
0.020887	0.076942
0.020887	0.076985
0.020901	0.077000
0.020901	0.077029
0.020901	0.077087
0.020916	0.077188
0.020916	0.077203
0.020930	0.077203
0.020930	0.077217
0.020945	0.077232
0.020945	0.077261
0.020974	0.077275
0.020974	0.077319
0.021176	0.077869
0.021307	0.078347
0.021307	0.078362
0.021307	0.078390
0.021307	0.078419
0.021307	0.078448
0.021307	0.078463
0.021321	0.078477
0.021336	0.078593
0.021350	0.078593
0.021350	0.078680
0.021350	0.078709
0.021365	0.078767
0.021365	0.078796
0.021524	0.079419
0.021524	0.079448
0.021539	0.079448
0.021553	0.079462
0.021553	0.079477
0.021553	0.079520
0.021568	0.079549
0.021568	0.079564
0.021582	0.079564
0.021596	0.079593
0.021611	0.079607
0.021625	0.079839
0.021625	0.079868
0.021640	0.079868
0.021669	0.079897
0.021669	0.079911
0.021770	0.080172
0.021843	0.080476
0.021843	0.080505
0.021843	0.080520
0.021843	0.080549
0.021843	0.080563
0.021843	0.080621
0.021857	0.080665
0.021857	0.080708
0.021857	0.080737
0.021886	0.080737
0.021886	0.080766
0.021915	0.080911
0.021915	0.080954
0.021930	0.081012
0.021988	0.081099
0.021988	0.081114
0.021988	0.081143
0.022002	0.081143
0.022002	0.081157
0.022046	0.081186
0.022089	0.081273
0.022089	0.081302
0.022089	0.081331
0.022103	0.081331
0.022103	0.081345
0.022103	0.081374
0.022103	0.081418
0.022161	0.081447
0.023494	0.088906
0.023508	0.088906
0.023508	0.088935
0.023537	0.088935
0.023537	0.088950
0.023537	0.089008
0.023552	0.089022
0.023581	0.089037
0.023581	0.089066
0.023610	0.089066
0.023610	0.089080
0.023624	0.089138
0.023624	0.089196
0.023639	0.089196
0.023682	0.089239
0.023697	0.089326
0.023697	0.089341
0.023697	0.089384
0.023697	0.089399
0.023711	0.089587
0.023711	0.089616
0.023726	0.089645
0.023740	0.089746
0.023755	0.089804
0.023755	0.089819
0.023769	0.089819
0.023769	0.089891
0.023784	0.089891
0.023784	0.089920
0.023784	0.089935
0.023842	0.090065
0.023885	0.090297
0.023885	0.090311
0.023900	0.090326
0.023900	0.090355
0.023929	0.090369
0.024015	0.090586
0.024030	0.090615
0.024030	0.090630
0.024044	0.090644
0.024044	0.090688
0.024059	0.090717
0.024059	0.090731
0.024088	0.090818
0.024088	0.090833
0.024117	0.090833
0.024334	0.091600
0.024334	0.091615
0.024363	0.091644
0.024392	0.091673
0.024392	0.091702
0.024406	0.091716
0.024406	0.091760
0.024421	0.091760
0.024421	0.091774
0.024435	0.091789
0.024450	0.091832
0.024522	0.091847
0.024522	0.091861
0.024522	0.091919
0.024522	0.091934
0.024551	0.091963
0.024551	0.091977
0.024551	0.092035
0.024551	0.092049
0.024667	0.092716
0.024856	0.093339
0.024856	0.093353
0.024899	0.093425
0.024928	0.093454
0.024928	0.093469
0.024942	0.093498
0.024957	0.093512
0.024971	0.093541
0.024971	0.093570
0.024971	0.093585
0.025015	0.093599
0.025015	0.093614
0.025015	0.093643
0.025058	0.093932
0.025058	0.093947
0.025073	0.094005
0.025116	0.094150
0.025116	0.094193
0.025116	0.094237
0.025131	0.094309
0.025160	0.094323
0.025232	0.094439
0.025232	0.094512
0.025232	0.094541
0.025247	0.094541
0.025290	0.094599
0.025290	0.094613
0.025305	0.094642
0.025305	0.094657
0.025305	0.094715
0.025840	0.096757
0.025840	0.096771
0.025855	0.096771
0.025855	0.096815
0.025869	0.096844
0.025869	0.096873
0.025869	0.096931
0.025869	0.096960
0.025884	0.096989
0.025884	0.097003
0.025898	0.097018
0.025913	0.097018
0.025942	0.097032
0.025956	0.097032
0.025956	0.097061
0.025956	0.097090
0.026000	0.097119
0.026000	0.097134
0.026029	0.097206
0.026029	0.097235
0.026058	0.097351
0.026130	0.097394
0.026130	0.097423
0.026232	0.097727
0.026261	0.097727
0.026289	0.097727
0.026289	0.097756
0.026333	0.097800
0.026347	0.097814
0.026347	0.097843
0.026362	0.097872
0.026536	0.098379
0.026681	0.098901
0.026695	0.098944
0.026695	0.098973
0.026710	0.099118
0.026710	0.099161
0.026724	0.099190
0.026724	0.099219
0.026724	0.099263
0.026724	0.099277
0.026739	0.099306
0.026739	0.099321
0.026767	0.099321
0.026811	0.099437
0.026825	0.099466
0.026825	0.099480
0.026825	0.099523
0.026840	0.099523
0.027028	0.100262
0.027057	0.100262
0.027101	0.100291
0.027115	0.100291
0.027130	0.100320
0.027130	0.100349
0.027144	0.100393
0.027159	0.100393
0.027159	0.100422
0.027173	0.100422
0.027260	0.100682
0.027260	0.100697
0.027260	0.100740
0.027260	0.100856
0.027260	0.100871
0.027405	0.101146
0.027492	0.101377
0.027492	0.101464
0.027492	0.101479
0.027506	0.101493
0.027506	0.101508
0.027521	0.101508
0.027521	0.101537
0.027535	0.101667
0.027535	0.101682
0.027550	0.101682
0.027550	0.101696
0.027550	0.101725
0.027550	0.101740
0.027564	0.101769
0.027564	0.101798
0.027579	0.101827
0.027637	0.101957
0.027637	0.101971
0.027651	0.101986
0.027651	0.102000
0.027666	0.102029
0.027694	0.102131
0.027694	0.102174
0.027723	0.102174
0.027738	0.102218
0.027752	0.102247
0.027752	0.102290
0.027752	0.102333
0.027752	0.102362
0.027752	0.102391
0.027752	0.102420
0.027752	0.102435
0.027767	0.102449
0.027781	0.102449
0.027781	0.102478
0.027781	0.102522
0.027781	0.102580
0.029071	0.109098
0.029071	0.109127
0.029071	0.109156
0.029085	0.109170
0.029099	0.109214
0.029099	0.109243
0.029099	0.109272
0.029143	0.109344
0.029143	0.109358
0.029143	0.109387
0.029143	0.109416
0.029157	0.109489
0.029186	0.109503
0.029201	0.109503
0.029201	0.109518
0.029215	0.109532
0.029215	0.109547
0.029244	0.109576
0.029259	0.109692
0.029259	0.109735
0.029273	0.109851
0.029273	0.109894
0.029273	0.109923
0.029288	0.109981
0.029288	0.109996
0.029302	0.109996
0.029317	0.110010
0.029317	0.110097
0.029317	0.110126
0.029346	0.110184
0.029346	0.110228
0.029447	0.110488
0.029505	0.110720
0.029505	0.110763
0.029577	0.111184
0.029577	0.111213
0.029577	0.111256
0.029577	0.111314
0.029577	0.111372
0.029577	0.111459
0.029592	0.111459
0.029635	0.111473
0.029664	0.111473
0.029925	0.112226
0.029954	0.112241
0.029954	0.112270
0.029969	0.112299
0.029983	0.112342
0.029983	0.112386
0.029983	0.112415
0.029983	0.112458
0.029998	0.112487
0.029998	0.112502
0.029998	0.112589
0.029998	0.112632
0.030070	0.112733
0.030070	0.112791
0.030070	0.112820
0.030070	0.112835
0.030070	0.112864
0.030070	0.112878
0.030200	0.113631
0.030287	0.114269
0.030287	0.114283
0.030287	0.114312
0.030302	0.114356
0.030302	0.114385
0.030316	0.114414
0.030316	0.114428
0.030360	0.114558
0.030374	0.114558
0.030374	0.114587
0.030374	0.114645
0.030389	0.114645
0.030389	0.114674
0.030476	0.115109
0.030490	0.115123
