# FPR	TPR
0.000000	0.000000
0.000069	0.000000
0.000208	0.000000
0.000625	0.000000
0.000694	0.000000
0.000833	0.000208
0.001319	0.000417
0.001458	0.000417
0.001528	0.000417
0.001806	0.000625
0.001875	0.000625
0.002014	0.001042
0.002500	0.001250
0.002500	0.001458
0.002778	0.001458
0.003125	0.001458
0.003125	0.001875
0.003681	0.001875
0.003681	0.002083
0.003958	0.002083
0.004722	0.002083
0.004722	0.002708
0.004931	0.003125
0.005069	0.003125
0.005347	0.003125
0.005417	0.003125
0.005556	0.003542
0.005694	0.003542
0.006042	0.003750
0.006111	0.003750
0.006319	0.004167
0.006528	0.004167
0.006667	0.004167
0.006667	0.004583
0.006944	0.004792
0.007014	0.004792
0.007153	0.005208
0.007361	0.005208
0.007361	0.005625
0.007500	0.005625
0.007500	0.005833
0.007708	0.006042
0.007847	0.006042
0.007847	0.006250
0.008194	0.006250
0.008194	0.006458
0.008264	0.006458
0.008264	0.006667
0.008403	0.006667
0.008611	0.006667
0.008750	0.007083
0.008889	0.007083
0.008889	0.007292
0.008958	0.007500
0.008958	0.007708
0.009028	0.007917
0.009028	0.008542
0.009236	0.008542
0.009514	0.008542
0.009514	0.008750
0.009514	0.009167
0.009514	0.009375
0.009583	0.009375
0.009653	0.010000
0.009722	0.010417
0.009861	0.010417
0.009861	0.010625
0.010208	0.011250
0.010278	0.011250
0.010278	0.011875
0.010347	0.011875
0.010486	0.012917
0.010486	0.013125
0.010556	0.013125
0.010556	0.013333
0.010694	0.013333
0.010972	0.013333
0.011181	0.013333
0.011181	0.013542
0.011944	0.014583
0.011944	0.015000
0.012222	0.015000
0.012431	0.015208
0.012431	0.015417
0.012500	0.015417
0.012500	0.015625
0.012639	0.015625
0.012639	0.015833
0.012708	0.016042
0.012708	0.016250
0.012986	0.016458
0.013056	0.016667
0.013125	0.016667
0.013125	0.016875
0.013333	0.016875
0.013472	0.016875
0.013472	0.017500
0.013542	0.017500
0.013542	0.017917
0.013958	0.018958
0.014028	0.018958
0.014167	0.018958
0.014236	0.019167
0.014306	0.019167
0.014583	0.019167
0.014583	0.019375
0.014722	0.019375
0.014861	0.019583
0.014861	0.019792
0.015556	0.021250
0.015625	0.021250
0.015694	0.021667
0.015694	0.021875
0.015764	0.022083
0.015833	0.022083
0.015903	0.022292
0.016111	0.022500
0.016181	0.022500
0.016181	0.022708
0.016181	0.023125
0.016181	0.023542
0.016250	0.023542
0.016250	0.023958
0.016319	0.023958
0.017292	0.025833
0.017361	0.025833
0.017500	0.025833
0.017500	0.026250
0.017500	0.026458
0.017569	0.026458
0.017639	0.026875
0.017639	0.027083
0.017708	0.027292
0.017847	0.027292
0.017917	0.027292
0.018056	0.027500
0.018056	0.027708
0.018125	0.027708
0.018819	0.030000
0.018958	0.030000
0.018958	0.030208
0.019028	0.030208
0.019028	0.030417
0.019028	0.030833
0.019167	0.030833
0.019236	0.031042
0.019236	0.031250
0.019306	0.031458
0.019444	0.031458
0.019514	0.031667
0.019722	0.031667
0.022014	0.033542
0.022014	0.033750
0.022083	0.033958
0.022222	0.033958
0.022361	0.034167
0.022500	0.034167
0.022500	0.034583
0.022569	0.034792
0.022708	0.035000
0.022708	0.035208
0.022778	0.035625
0.022778	0.036042
0.023889	0.037292
0.023958	0.037292
0.024167	0.037292
0.024236	0.037708
0.024375	0.037708
0.024514	0.038333
0.024653	0.038333
0.024792	0.038542
0.025000	0.038750
0.025000	0.039167
0.025139	0.039167
0.026944	0.042917
0.027014	0.042917
0.027014	0.043125
0.027083	0.043125
0.027222	0.043125
0.027222	0.043333
0.027361	0.043958
0.027500	0.043958
0.027708	0.044167
0.028264	0.044375
0.028333	0.044375
0.028403	0.044583
0.028403	0.044792
0.028542	0.044792
0.028542	0.045208
0.028750	0.045625
0.028819	0.045625
0.031597	0.048333
