# FPR	TPR
0.000000	0.000000
0.004012	0.013181
0.004027	0.013181
0.004070	0.013195
0.004085	0.013297
0.004099	0.013297
0.004128	0.013311
0.004201	0.013601
0.004331	0.013978
0.004331	0.014151
0.004476	0.014427
0.004505	0.014586
0.004534	0.014586
0.004534	0.014600
0.004635	0.014702
0.004707	0.015035
0.004722	0.015064
0.004722	0.015078
0.004722	0.015107
0.004722	0.015122
0.005041	0.016295
0.005041	0.016324
0.005041	0.016339
0.005041	0.016368
0.005084	0.016425
0.005185	0.016672
0.005185	0.016701
0.005301	0.016918
0.005316	0.017135
0.005316	0.017164
0.005316	0.017179
0.005330	0.017222
0.005403	0.017526
0.005403	0.017555
0.005403	0.017570
0.005417	0.017599
0.005417	0.017613
0.005461	0.017715
0.005461	0.017729
0.005461	0.017802
0.005475	0.017831
0.005475	0.017845
0.005490	0.017845
0.005504	0.017859
0.005519	0.017903
0.005533	0.017917
0.005548	0.017917
0.005548	0.017932
0.005548	0.017975
0.005548	0.018019
0.008778	0.030548
0.008778	0.030591
0.008792	0.030606
0.008792	0.030664
0.008821	0.030678
0.008821	0.030693
0.008821	0.030722
0.008821	0.030809
0.008821	0.030838
0.008821	0.030852
0.008836	0.030910
0.008836	0.031026
0.008865	0.031156
0.008865	0.031171
0.009067	0.031533
0.009082	0.031576
0.009183	0.032141
0.009183	0.032170
0.009198	0.032199
0.009198	0.032228
0.009198	0.032243
0.009212	0.032243
0.009227	0.032301
0.009328	0.032808
0.009415	0.033184
0.009429	0.033257
0.009458	0.033257
0.009458	0.033488
0.009458	0.033517
0.009473	0.033517
0.009531	0.033648
0.009545	0.033648
0.009545	0.033691
0.009545	0.033749
0.010067	0.035415
0.010067	0.035429
0.010067	0.035458
0.010081	0.035458
0.010081	0.035473
0.010110	0.035531
0.010139	0.035531
0.010183	0.035545
0.010212	0.035603
0.010270	0.035748
0.010284	0.035806
0.010313	0.035820
0.010400	0.036240
0.010530	0.036689
0.010559	0.036689
0.010559	0.036704
0.010603	0.036762
0.010603	0.036776
0.010617	0.036805
0.010632	0.036849
