# FPR	TPR
0.000000	0.000000
0.000139	0.000000
0.000208	0.000000
0.000347	0.000000
0.000486	0.000208
0.000556	0.000208
0.000764	0.000208
0.001042	0.000417
0.001042	0.000625
0.001111	0.000625
0.001319	0.000625
0.001667	0.000625
0.001806	0.000625
0.002083	0.000833
0.002222	0.000833
0.002361	0.000833
0.002639	0.001042
0.002708	0.001042
0.003125	0.001042
0.003125	0.001250
0.004097	0.001458
0.004167	0.001458
0.004583	0.001875
0.005000	0.001875
0.005139	0.001875
0.005347	0.002083
0.005417	0.002083
0.005417	0.002292
0.005764	0.002292
0.005903	0.002292
0.006319	0.002292
0.006389	0.002292
0.006806	0.002500
0.006875	0.002500
0.006944	0.002708
0.007014	0.002708
0.007222	0.003125
0.007361	0.003125
0.007500	0.003333
0.007500	0.003750
0.007569	0.003750
0.007569	0.004583
0.007639	0.004583
0.007639	0.005000
0.007639	0.005417
0.007639	0.005833
0.007778	0.006250
0.007778	0.006458
0.007847	0.006458
0.007847	0.006667
0.007917	0.007083
0.007917	0.007292
0.007917	0.007708
0.007917	0.008125
0.007917	0.008958
0.007917	0.009375
0.008194	0.009375
0.008194	0.009583
0.008264	0.009583
0.008264	0.009792
0.008264	0.010833
0.008264	0.011458
0.008403	0.011458
0.008472	0.012500
0.008472	0.013333
0.008542	0.013333
0.008542	0.013542
0.008681	0.013958
0.008681	0.014167
0.008750	0.014375
0.008750	0.014792
0.008819	0.015625
0.008819	0.015833
0.008889	0.016042
0.008889	0.016458
0.008958	0.016458
0.008958	0.016667
0.009028	0.016875
0.009097	0.016875
0.009097	0.017292
0.009167	0.017500
0.009306	0.017917
0.009306	0.018125
0.009375	0.018125
0.009375	0.018542
0.009514	0.018958
0.009514	0.019375
0.009514	0.019583
0.009583	0.020000
0.009583	0.020208
0.009653	0.020208
0.009653	0.020625
0.009861	0.020625
0.009861	0.020833
0.010208	0.021875
0.010208	0.022083
0.010278	0.022083
0.010278	0.022292
0.010417	0.022708
0.010556	0.022917
0.010556	0.023125
0.010625	0.023125
0.010694	0.023958
0.010764	0.023958
0.010764	0.024583
0.011042	0.025208
0.011181	0.025208
0.011181	0.025417
0.011250	0.025417
0.011458	0.025625
0.011528	0.025625
0.011806	0.025625
0.011806	0.026042
0.011875	0.026042
0.011875	0.026458
0.011875	0.026667
0.012639	0.028750
0.012778	0.028750
0.012847	0.028750
0.012847	0.028958
0.012986	0.028958
0.012986	0.029167
0.013056	0.029167
0.013194	0.029375
0.013264	0.029375
0.013264	0.029583
0.013542	0.029792
0.013611	0.029792
0.013750	0.030208
0.013750	0.030833
0.015278	0.032500
0.015347	0.032500
0.015347	0.033125
0.015556	0.033750
0.015625	0.033750
0.015972	0.033750
0.016042	0.033750
0.016042	0.034167
0.016181	0.034167
0.016250	0.034167
0.017569	0.036667
0.017708	0.036667
0.017708	0.036875
0.017917	0.036875
0.018056	0.037292
0.018194	0.037292
0.018264	0.037500
0.018611	0.038333
0.018611	0.038750
0.018681	0.038750
0.018889	0.039375
0.019028	0.039583
0.019028	0.039792
0.019097	0.040208
0.019097	0.040417
0.019236	0.040417
0.019306	0.040625
0.020694	0.045000
0.020764	0.045000
0.020764	0.045208
0.020972	0.045208
0.021111	0.045208
0.021181	0.045417
0.021250	0.045417
0.021736	0.045833
0.021806	0.045833
0.021806	0.046250
0.021806	0.047083
0.022083	0.047292
0.022083	0.047500
0.022153	0.047500
0.022292	0.047917
0.022361	0.047917
0.022431	0.048542
0.023958	0.053333
0.024028	0.053333
0.024028	0.053542
0.024097	0.053542
0.024097	0.053958
0.024167	0.054167
0.024236	0.054167
0.024375	0.054167
0.024792	0.054167
0.024931	0.054167
0.025000	0.054167
0.025000	0.054375
0.025625	0.056042
0.025833	0.056042
0.025972	0.056250
0.026111	0.056667
0.026181	0.056667
0.026181	0.056875
0.026319	0.056875
0.026389	0.056875
0.026528	0.057083
0.026667	0.057500
0.026667	0.057708
0.026736	0.057708
0.026736	0.057917
0.030000	0.060000
0.030069	0.060000
0.030208	0.060000
0.030278	0.060208
0.030417	0.060417
0.030556	0.060417
0.031319	0.061250
0.031389	0.061250
0.031389	0.061458
0.031806	0.061875
0.031944	0.062292
0.031944	0.062500
0.032083	0.062708
0.032292	0.062917
0.032361	0.062917
0.032431	0.063125
0.032431	0.063333
0.036736	0.069375
0.036806	0.069375
0.036806	0.069583
0.036875	0.069792
0.036875	0.070000
0.037153	0.070208
0.037361	0.070833
0.037500	0.071042
0.037500	0.071250
0.037639	0.071250
0.038750	0.071875
0.038750	0.072083
0.038819	0.072292
0.038958	0.072292
0.039097	0.072292
0.039236	0.072708
0.039444	0.073333
0.039444	0.073542
0.039653	0.073750
0.039792	0.073750
0.045069	0.082292
0.045069	0.082500
0.045208	0.082500
0.045208	0.082708
0.045417	0.082708
0.045417	0.083333
0.045556	0.083750
0.045694	0.083958
0.045833	0.083958
0.045833	0.084167
0.045903	0.084167
0.047292	0.085417
0.047431	0.085417
0.047500	0.085417
0.047639	0.085833
0.047917	0.086458
0.047986	0.086458
0.047986	0.086667
