# FPR	TPR
0.000000	0.000000
0.004027	0.013717
0.004027	0.013731
0.004041	0.013746
0.004041	0.013818
0.004041	0.013876
0.004085	0.013963
0.004085	0.014007
0.004172	0.014340
0.004172	0.014383
0.004172	0.014412
0.004186	0.014441
0.004287	0.014789
0.004418	0.015049
0.004418	0.015064
0.004418	0.015093
0.004461	0.015223
0.004490	0.015354
0.004490	0.015368
0.004794	0.016411
0.004794	0.016440
0.004794	0.016469
0.004809	0.016469
0.004852	0.016527
0.004852	0.016614
0.004867	0.016614
0.004867	0.016773
0.004867	0.016788
0.004881	0.016875
0.004881	0.016889
0.004896	0.016918
0.004910	0.016918
0.005070	0.017251
0.005128	0.017657
0.005128	0.017700
0.005142	0.017700
0.005142	0.017758
0.005142	0.017802
0.005214	0.017961
0.005214	0.017990
0.005243	0.018091
0.005345	0.018222
0.005345	0.018366
0.005345	0.018410
0.005345	0.018453
0.005359	0.018468
0.005359	0.018482
0.005359	0.018511
0.005374	0.018526
0.009009	0.031634
0.009009	0.031649
0.009038	0.031649
0.009038	0.031678
0.009038	0.031707
0.009053	0.031750
0.009067	0.031765
0.009067	0.031779
0.009082	0.031823
0.009082	0.031866
0.009082	0.031881
0.009096	0.031895
0.009096	0.031910
0.009111	0.031953
0.009169	0.032011
0.009212	0.032141
0.009212	0.032156
0.009285	0.032402
0.009285	0.032445
0.009429	0.032981
0.009429	0.032996
0.009473	0.033025
0.009502	0.033112
0.009502	0.033141
0.009516	0.033184
0.009516	0.033199
0.009531	0.033228
0.009531	0.033242
0.009661	0.033604
0.009705	0.033952
0.009705	0.033966
0.009719	0.033966
0.009806	0.034314
0.009821	0.034314
0.009821	0.034328
0.009821	0.034372
0.009821	0.034401
0.009850	0.034459
0.009850	0.034473
0.009864	0.034488
0.009864	0.034517
0.009864	0.034560
0.009864	0.034575
0.009893	0.034604
0.009893	0.034618
0.010270	0.036182
0.010270	0.036211
0.010284	0.036226
0.010284	0.036255
0.010284	0.036313
0.010327	0.036356
0.010327	0.036371
0.010342	0.036429
0.010342	0.036443
0.010371	0.036733
0.010385	0.036733
0.010400	0.036762
0.010400	0.036791
0.010400	0.036820
0.010429	0.036863
0.010429	0.036878
0.010545	0.037283
0.010733	0.037790
0.010762	0.037790
0.010777	0.037863
0.010777	0.037877
0.010791	0.037892
0.010979	0.038312
0.010994	0.038326
0.010994	0.038341
0.011008	0.038355
0.011008	0.038384
0.011023	0.038384
0.011095	0.038543
0.011124	0.038543
0.011124	0.038572
0.011197	0.038659
0.011211	0.038761
0.011226	0.038790
0.011240	0.038877
0.011255	0.038891
0.011298	0.038935
0.011312	0.038935
0.011312	0.038963
0.011312	0.038992
0.011327	0.039021
0.011341	0.039021
0.011356	0.039036
0.011356	0.039065
0.011356	0.039123
0.011370	0.039123
0.011370	0.039166
0.011385	0.039224
0.013543	0.049668
0.013543	0.049697
0.013543	0.049726
0.013543	0.049740
0.013543	0.049783
0.013543	0.049812
0.013587	0.049856
0.013587	0.049885
0.013601	0.049885
0.013659	0.049957
0.013659	0.050001
0.013659	0.050030
0.013659	0.050102
0.013659	0.050160
0.013659	0.050175
0.013688	0.050175
0.013688	0.050189
0.013717	0.050305
0.013717	0.050319
0.013760	0.050348
0.013804	0.050421
0.013818	0.050435
0.013818	0.050450
0.013920	0.050609
0.013949	0.050812
0.013949	0.050841
0.014021	0.051261
0.014036	0.051261
0.014036	0.051275
0.014079	0.051275
0.014093	0.051290
0.014122	0.051319
0.014311	0.051811
0.014325	0.051811
0.014325	0.051869
0.014340	0.051956
0.014340	0.052014
0.014354	0.052072
0.014354	0.052101
0.014354	0.052130
0.014499	0.052608
0.014615	0.053086
0.014629	0.053086
0.014644	0.053115
0.014644	0.053144
0.014658	0.053158
0.014687	0.053260
0.014687	0.053274
0.014702	0.053289
0.014702	0.053303
0.014745	0.053607
0.014745	0.053636
0.014789	0.053709
0.014789	0.053738
0.014803	0.053825
0.014803	0.053839
0.014818	0.053839
0.014818	0.053897
0.014818	0.053912
0.014832	0.053912
0.014847	0.053926
0.014847	0.053955
0.014861	0.053955
0.014861	0.053969
0.014876	0.053998
0.015310	0.055809
0.015310	0.055838
0.015325	0.055838
0.015354	0.055867
0.015354	0.055896
0.015368	0.055896
0.015368	0.055910
0.015397	0.055954
0.015412	0.055968
0.015412	0.055983
0.015426	0.056055
0.015426	0.056070
0.015470	0.056142
0.015484	0.056215
0.015600	0.056490
0.015600	0.056548
0.015614	0.056548
0.015614	0.056591
0.015629	0.056606
0.015629	0.056620
0.015629	0.056664
0.015629	0.056765
0.015716	0.057113
0.016005	0.057880
0.016005	0.057895
0.016020	0.057895
0.016020	0.057909
0.016020	0.057938
0.016034	0.057996
0.016034	0.058011
0.016063	0.058040
0.016078	0.058083
0.016078	0.058170
0.016310	0.058648
0.016310	0.058691
0.016324	0.058691
0.016382	0.058865
0.016382	0.058880
0.016397	0.058894
0.016527	0.059025
0.016599	0.059271
0.016599	0.059285
0.016599	0.059314
0.016614	0.059416
0.016614	0.059430
0.016628	0.059474
0.016628	0.059488
0.016628	0.059546
0.016628	0.059561
0.016643	0.059561
0.016643	0.059575
0.016672	0.059590
0.016672	0.059604
0.016701	0.059676
0.016701	0.059807
0.016701	0.059821
0.016715	0.059865
0.016715	0.059879
0.016730	0.059894
0.016730	0.059908
0.016730	0.059937
0.016744	0.059952
0.016744	0.059981
0.016744	0.059995
0.016744	0.060024
0.018714	0.068048
0.018729	0.068048
0.018729	0.068063
0.018729	0.068150
0.018729	0.068179
0.018729	0.068266
0.018729	0.068309
0.018743	0.068338
0.018743	0.068353
0.018758	0.068454
0.018758	0.068469
0.018758	0.068526
0.018758	0.068541
0.018758	0.068628
0.018758	0.068657
0.018786	0.068657
0.018786	0.068686
0.018786	0.068758
0.018801	0.068787
0.018844	0.069048
0.018859	0.069323
0.018873	0.069338
0.018902	0.069338
0.018902	0.069381
0.018917	0.069381
0.019004	0.069656
0.019004	0.069714
0.019004	0.069758
0.019018	0.069758
0.019018	0.069787
0.019279	0.070656
0.019279	0.070699
0.019308	0.070714
0.019351	0.070743
0.019351	0.070786
0.019366	0.070830
0.019395	0.070844
0.019395	0.070859
0.019438	0.070945
0.019438	0.070974
0.019438	0.071003
0.019438	0.071018
0.019656	0.071496
0.019786	0.072104
0.019786	0.072119
0.019800	0.072119
0.019800	0.072177
0.019800	0.072206
0.019815	0.072206
0.019829	0.072336
0.019829	0.072350
0.019858	0.072379
0.019858	0.072437
0.019931	0.072828
0.019931	0.072843
0.019945	0.072843
0.019945	0.072857
0.019960	0.072915
0.019960	0.072959
0.019960	0.072973
0.019974	0.072988
0.020003	0.073104
0.020018	0.073118
0.020018	0.073133
0.020032	0.073162
0.020032	0.073191
0.020061	0.073248
0.020090	0.073248
0.020090	0.073292
0.020105	0.073321
0.020105	0.073364
0.020105	0.073379
0.020119	0.073393
0.020119	0.073408
0.020134	0.073408
0.020641	0.075421
0.020641	0.075436
0.020641	0.075494
0.020641	0.075523
0.020655	0.075595
0.020655	0.075624
0.020684	0.075624
0.020684	0.075682
0.020684	0.075725
0.020684	0.075754
0.020698	0.075769
0.020698	0.075870
0.020698	0.075885
0.020713	0.075957
0.020713	0.076058
0.020713	0.076087
0.020771	0.076348
0.020771	0.076377
0.020771	0.076392
0.020785	0.076435
0.020785	0.076450
0.020814	0.076450
0.020843	0.076464
0.020858	0.076479
0.020930	0.076826
0.021075	0.077463
0.021075	0.077492
0.021075	0.077507
0.021090	0.077507
0.021090	0.077550
0.021176	0.077681
0.021191	0.077681
0.021191	0.077710
0.021205	0.077768
0.021205	0.077826
0.021307	0.078448
0.021307	0.078463
0.021321	0.078521
0.021321	0.078535
0.021321	0.078564
0.021336	0.078564
0.021336	0.078608
0.021336	0.078637
0.021350	0.078637
0.021365	0.078999
0.021379	0.079028
0.021379	0.079057
0.021408	0.079057
0.021408	0.079071
0.021481	0.079361
0.021611	0.079651
0.021611	0.079665
0.021625	0.079694
0.021640	0.079738
0.021654	0.079824
0.021654	0.079839
0.021654	0.079868
0.021654	0.079882
0.021683	0.080100
0.021683	0.080129
0.021683	0.080216
0.021712	0.080375
0.021712	0.080404
0.021756	0.080433
0.021770	0.080476
0.021785	0.080549
0.021814	0.080549
0.021814	0.080592
0.021828	0.080592
0.021828	0.080636
0.021828	0.080665
0.021828	0.080708
0.021857	0.080708
0.021857	0.080737
0.023233	0.087646
0.023233	0.087719
0.023248	0.087733
0.023248	0.087776
0.023248	0.087805
0.023248	0.087820
0.023262	0.087820
0.023291	0.087820
0.023306	0.087849
0.023306	0.087878
0.023306	0.087921
0.023306	0.087936
0.023320	0.087994
0.023320	0.088008
0.023320	0.088081
0.023349	0.088182
0.023349	0.088197
0.023364	0.088197
0.023364	0.088211
0.023378	0.088341
0.023378	0.088356
0.023407	0.088370
0.023407	0.088414
0.023407	0.088486
0.023422	0.088544
0.023422	0.088559
0.023465	0.088675
0.023494	0.088718
0.023494	0.088747
0.023494	0.088776
0.023523	0.088921
0.023624	0.089225
0.023668	0.089225
0.023682	0.089239
0.023682	0.089268
0.023697	0.089268
0.023697	0.089297
0.023798	0.089790
0.023813	0.089790
0.023813	0.089804
0.023827	0.089804
0.023856	0.089833
0.023856	0.089848
0.023856	0.089920
0.023856	0.089935
0.023856	0.089964
0.023871	0.089978
0.023885	0.089978
0.023957	0.090818
0.023957	0.090862
0.023957	0.090876
0.023986	0.090949
0.024001	0.090949
0.024030	0.090963
0.024030	0.090978
0.024030	0.091007
0.024073	0.091093
0.024073	0.091122
0.024073	0.091166
0.024102	0.091253
0.024102	0.091311
0.024131	0.091325
0.024146	0.091325
0.024378	0.092107
0.024479	0.092643
0.024479	0.092658
0.024479	0.092716
0.024479	0.092745
0.024493	0.092745
0.024508	0.092817
0.024522	0.092817
0.024522	0.092890
0.024537	0.092904
0.024609	0.093165
0.024624	0.093165
0.024638	0.093252
0.024667	0.093339
0.024667	0.093425
0.024667	0.093498
0.024667	0.093527
0.024667	0.093556
0.024711	0.093628
0.024740	0.093628
0.024769	0.093701
0.024769	0.093744
0.024783	0.093744
0.024783	0.093788
0.024798	0.093831
0.024798	0.093860
0.025319	0.096178
0.025319	0.096250
0.025319	0.096279
0.025334	0.096308
0.025334	0.096322
0.025334	0.096380
0.025348	0.096395
0.025348	0.096438
0.025348	0.096482
0.025348	0.096496
0.025348	0.096540
0.025348	0.096569
0.025348	0.096612
0.025362	0.096641
0.025362	0.096713
0.025362	0.096742
0.025420	0.096902
0.025435	0.096974
0.025435	0.096989
0.025449	0.097307
0.025449	0.097336
0.025464	0.097351
0.025464	0.097380
0.025478	0.097380
0.025478	0.097394
0.025478	0.097423
0.025478	0.097467
0.025478	0.097481
0.025507	0.097539
0.025507	0.097554
0.025522	0.097568
0.025522	0.097597
0.025536	0.097655
0.025536	0.097684
0.025536	0.097698
0.025681	0.098205
0.025754	0.098973
0.025754	0.098988
0.025768	0.099002
0.025797	0.099016
0.025797	0.099031
0.025797	0.099060
0.025811	0.099219
0.025826	0.099234
0.025826	0.099277
0.025855	0.099306
0.025855	0.099335
0.025855	0.099350
0.025869	0.099364
0.025884	0.099393
0.025884	0.099422
0.025884	0.099480
0.025913	0.099480
0.025913	0.099494
0.025927	0.099494
0.025927	0.099523
0.026087	0.099972
0.026087	0.100001
0.026130	0.100030
0.026145	0.100059
0.026145	0.100074
0.026159	0.100074
0.026188	0.100088
0.026217	0.100146
0.026217	0.100175
0.026217	0.100190
0.026275	0.100378
0.026275	0.100407
0.026275	0.100436
0.026289	0.100450
0.026289	0.100465
0.026304	0.100479
0.026304	0.100494
0.026463	0.100899
0.026623	0.101233
0.026652	0.101233
0.026652	0.101247
0.026652	0.101276
0.026652	0.101291
0.026652	0.101320
0.026681	0.101363
0.026681	0.101392
0.026695	0.101392
0.026724	0.101421
0.026739	0.101464
0.026767	0.101508
0.026782	0.101508
0.026782	0.101551
0.026811	0.101551
0.026825	0.101798
0.026854	0.101812
0.026854	0.101841
0.026854	0.101855
0.026869	0.101855
0.026883	0.101913
0.026912	0.101986
0.026912	0.102015
0.026912	0.102102
0.026912	0.102131
0.026912	0.102160
0.026927	0.102189
0.026927	0.102203
0.026927	0.102261
0.026927	0.102276
0.026927	0.102304
0.026927	0.102333
0.026941	0.102348
0.026941	0.102362
0.026956	0.102391
0.026956	0.102420
0.026956	0.102435
0.026970	0.102449
0.028448	0.108533
0.028448	0.108562
0.028462	0.108562
0.028462	0.108576
0.028491	0.108576
0.028491	0.108591
0.028506	0.108605
0.028506	0.108634
0.028520	0.108649
0.028535	0.108649
0.028549	0.108707
0.028549	0.108736
0.028549	0.108765
0.028549	0.108808
0.028549	0.108823
0.028564	0.108866
0.028593	0.108895
0.028593	0.108924
0.028650	0.109127
0.028650	0.109141
0.028650	0.109170
0.028665	0.109344
0.028694	0.109344
0.028694	0.109358
0.028694	0.109460
0.028752	0.109576
0.028766	0.109663
0.028766	0.109692
0.028766	0.109721
0.028810	0.109779
0.028810	0.109822
0.028839	0.109851
0.028839	0.109880
0.028839	0.109894
0.028897	0.110199
0.029042	0.110561
0.029042	0.110575
0.029056	0.110604
0.029056	0.110633
0.029071	0.110633
0.029071	0.110648
0.029071	0.110691
0.029157	0.110894
0.029172	0.110894
0.029172	0.110923
0.029172	0.110952
0.029172	0.110995
0.029172	0.111024
0.029186	0.111024
0.029186	0.111039
0.029230	0.111082
0.029244	0.111082
0.029447	0.111763
0.029462	0.111792
0.029476	0.111792
0.029491	0.111864
0.029491	0.111908
0.029491	0.111951
0.029520	0.111980
0.029520	0.112009
0.029534	0.112140
0.029549	0.112154
0.029549	0.112168
0.029563	0.112183
0.029577	0.112328
0.029577	0.112371
0.029592	0.112371
0.029592	0.112400
0.029693	0.112965
0.029838	0.113443
0.029853	0.113443
0.029853	0.113472
0.029853	0.113530
0.029853	0.113559
0.029867	0.113559
0.029867	0.113573
0.029882	0.113573
0.029882	0.113588
0.029925	0.113660
0.029940	0.113660
0.029940	0.113675
0.029940	0.113718
0.029940	0.113747
0.029940	0.113776
0.029954	0.114240
0.029954	0.114283
0.029998	0.114457
0.030012	0.114457
0.030012	0.114472
0.030027	0.114486
0.030027	0.114500
0.030041	0.114573
0.030055	0.114587
0.030055	0.114616
0.030070	0.114703
0.030070	0.114718
0.030070	0.114761
0.030070	0.114776
0.030084	0.114805
0.030113	0.114805
0.030113	0.114863
0.030113	0.114892
0.030113	0.114906
0.030403	0.117079
0.030432	0.117093
0.030432	0.117108
0.030461	0.117137
0.030476	0.117151
0.030476	0.117195
0.030476	0.117224
0.030476	0.117311
0.030476	0.117339
0.030476	0.117354
0.030490	0.117368
0.030490	0.117383
0.030519	0.117470
0.030519	0.117499
0.030533	0.117499
0.030577	0.117600
0.030606	0.117702
0.030620	0.117832
0.030620	0.117846
0.030635	0.117861
0.030736	0.118180
0.030736	0.118194
0.030736	0.118223
0.030751	0.118223
0.030751	0.118252
0.030751	0.118295
0.030751	0.118368
0.030751	0.118397
0.030765	0.118397
0.030809	0.118411
0.030809	0.118426
0.030809	0.118513
0.030823	0.118513
0.030838	0.118542
0.030838	0.118556
0.030910	0.119005
0.031026	0.119628
0.031026	0.119657
0.031040	0.119657
0.031040	0.119671
0.031055	0.119671
0.031055	0.119686
0.031069	0.119976
0.031069	0.120005
0.031069	0.120077
0.031127	0.120077
0.031127	0.120135
0.031171	0.120207
0.031171	0.120251
0.031171	0.120280
0.031171	0.120294
0.031432	0.120932
0.031446	0.120932
0.031446	0.120961
0.031446	0.120975
0.031446	0.121019
0.031446	0.121033
0.031460	0.121033
0.031460	0.121076
0.031533	0.121221
0.031533	0.121265
0.031547	0.121279
0.031547	0.121308
0.031562	0.121323
0.031576	0.121323
0.031591	0.121352
0.031591	0.121381
0.031649	0.121757
0.031721	0.122061
0.031721	0.122090
0.031736	0.122090
0.031736	0.122119
0.031750	0.122148
0.031750	0.122279
0.031765	0.122308
0.031765	0.122337
0.031779	0.122351
0.031779	0.122380
0.031808	0.122510
0.031808	0.122539
0.031808	0.122554
0.031823	0.122641
0.031895	0.122873
0.031895	0.122902
0.031895	0.122945
0.031895	0.122974
0.031895	0.123017
0.031895	0.123032
0.031910	0.123046
0.031967	0.123090
0.031967	0.123119
0.031967	0.123148
0.032011	0.123235
0.032025	0.123249
0.032025	0.123307
0.032025	0.123365
0.032040	0.123409
0.032040	0.123423
0.032083	0.123466
0.033097	0.128985
0.033097	0.129000
0.033097	0.129029
0.033112	0.129043
0.033112	0.129057
0.033126	0.129101
0.033126	0.129130
0.033155	0.129173
0.033155	0.129202
0.033184	0.129246
0.033184	0.129260
0.033199	0.129260
0.033199	0.129275
0.033228	0.129304
0.033228	0.129318
0.033257	0.129362
0.033257	0.129405
0.033271	0.129449
0.033286	0.129564
0.033315	0.129564
0.033315	0.129593
0.033329	0.129622
0.033343	0.129767
0.033343	0.129796
0.033358	0.129796
0.033358	0.129825
0.033358	0.129854
0.033372	0.129854
0.033372	0.129883
0.033416	0.129941
0.033416	0.129985
0.033416	0.129999
0.033430	0.130086
0.033430	0.130100
0.033459	0.130187
0.033459	0.130216
0.033459	0.130245
0.033488	0.130535
0.033604	0.130984
0.033619	0.130998
0.033619	0.131042
0.033633	0.131056
0.033633	0.131071
0.033633	0.131129
0.033677	0.131534
0.033677	0.131549
0.033735	0.131549
0.033735	0.131578
0.033735	0.131607
0.033735	0.131650
0.033749	0.131679
0.033749	0.131694
0.033764	0.131694
0.033764	0.131723
0.034053	0.132360
0.034053	0.132403
0.034053	0.132418
0.034082	0.132461
0.034082	0.132490
0.034097	0.132505
0.034097	0.132548
0.034097	0.132621
0.034111	0.132650
0.034111	0.132664
0.034126	0.132780
0.034126	0.132795
